Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
2015-07-31,31,July,2015,46.0,Adults (35-64),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Blue",14,13,35,200,182,382,More or equal to 100
2016-05-15,15,May,2016,40.0,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,55,38,93,Less than 100
2016-06-28,28,June,2016,50.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,3,2,5,9,6,15,Less than 100
2013-08-16,16,August,2013,50.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,8,2,5,23,16,39,Less than 100
2014-03-05,5,Mar,2014,86.0,Seniors (64+),M,Germany,Saarland,Clothing,Vests,"Classic Vest, L",29,24,64,826,696,1522,More or equal to 100
2014-04-03,3,April,2014,31.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5,Less than 100
2016-05-13,13,May,2016,19.0,Youth (<25),M,Germany,Hamburg,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10,11,8,19,Less than 100
2012-03-25,25,Mar,2012,41.0,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443,750,3110,3860,More or equal to 100
2011-06-02,2,June,2011,20.0,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,126,344,470,More or equal to 100
2016-06-15,15,June,2016,40.0,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,-----,14,3,9,81,42,123,Less than 100
2016-03-11,11,Mar,2016,22.0,Youth (<25),M,Canada,British Columbia,Clothing,Vests,"Classic Vest, M",9,24,64,354,216,570,More or equal to 100
2015-11-15,15,Nov,2015,20.0,Youth (<25),M,USA,California,Accessories,Helmets,"Sport-100 Helmet, Black",5,13,35,107,65,172,More or equal to 100
2015-08-29,29,August,2015,31.0,Young Adults (25-34),M,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,55,56,111,Less than 100
2014-04-26,26,April,2014,34.0,Young Adults (25-34),F,Germany,Hessen,Bikes,Touring Bikes,"Touring-3000 Blue, 58",1,461,742,229,461,690,More or equal to 100
2013-09-17,17,September,2013,32.0,Young Adults (25-34),M,Germany,Hamburg,Clothing,Vests,"Classic Vest, L",30,24,64,1066,720,1786,More or equal to 100
2014-04-27,27,April,2014,53.0,Adults (35-64),F,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",14,26,70,606,364,970,More or equal to 100
2014-02-21,21,Feb,2014,45.0,Adults (35-64),F,Australia,Victoria,Accessories,Tires and Tubes,HL Mountain Tire,7,13,35,103,91,194,More or equal to 100
2015-09-03,3,September,2015,41.0,Adults (35-64),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, M",1,9,24,12,9,21,Less than 100
2013-11-22,22,Nov,2013,32.0,Young Adults (25-34),M,USA,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,26,18,44,Less than 100
2014-06-26,26,June,2014,70.0,Seniors (64+),F,France,Nord,Accessories,Tires and Tubes,ML Mountain Tire,7,11,30,106,77,183,More or equal to 100
2015-08-25,25,August,2015,54.0,Adults (35-64),M,USA,California,Clothing,Vests,"Classic Vest, S",25,24,64,968,600,1568,More or equal to 100
2014-05-05,5,May,2014,47.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,19,1,2,14,19,33,Less than 100
2013-08-02,2,August,2013,36.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,2,1,4,6,2,8,Less than 100
2014-01-03,3,January,2014,40.0,Adults (35-64),M,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Blue",9,13,35,141,117,258,More or equal to 100
2016-06-15,15,June,2016,43.0,Adults (35-64),M,USA,California,Accessories,Tires and Tubes,-----,16,13,35,341,208,549,More or equal to 100
2013-09-09,9,September,2013,36.0,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35,Less than 100
2015-10-30,30,October,2015,68.0,Seniors (64+),M,USA,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,20,21,41,Less than 100
2013-08-26,26,August,2013,24.0,Youth (<25),M,France,Loir et Cher,Accessories,Tires and Tubes,Road Tire Tube,18,1,4,46,18,64,Less than 100
2012-01-15,15,January,2012,28.0,Young Adults (25-34),M,UK,England,Bikes,Mountain Bikes,-----,2,1252,2295,1902,2504,4406,More or equal to 100
2016-04-28,28,April,2016,36.0,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-550-W Yellow, 42",2,713,1120,792,1426,2218,More or equal to 100
2013-12-22,22,Dec,2013,74.0,Seniors (64+),F,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,9,8,22,124,72,196,More or equal to 100
2016-04-27,27,April,2016,21.0,Youth (<25),M,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Red",15,13,35,236,195,431,More or equal to 100
2016-04-23,23,April,2016,28.0,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1264,2171,3435,More or equal to 100
2013-09-25,25,September,2013,40.0,Adults (35-64),F,Germany,Hamburg,Accessories,Hydration Packs,Hydration Pack - 70 oz.,22,21,55,663,462,1125,More or equal to 100
2013-05-26,26,May,2013,29.0,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,683,1266,1949,More or equal to 100
2016-06-04,4,June,2016,34.0,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,961,1266,2227,More or equal to 100
2014-05-20,20,May,2014,40.0,Adults (35-64),F,Germany,Hamburg,Accessories,Tires and Tubes,Mountain Tire Tube,23,2,5,61,46,107,Less than 100
2016-04-09,9,April,2016,82.0,Seniors (64+),F,France,Seine (Paris),Clothing,Shorts,"Women's Mountain Shorts, M",11,26,70,345,286,631,More or equal to 100
2015-10-28,28,October,2015,39.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Less than 100
2014-05-29,29,May,2014,32.0,Young Adults (25-34),M,Australia,Queensland,Accessories,Fenders,Fender Set - Mountain,4,8,22,42,32,74,Less than 100
2013-10-13,13,October,2013,20.0,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,25,2,5,74,50,124,Less than 100
2011-12-29,29,Dec,2011,25.0,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578,4114,6513,10627,More or equal to 100
2015-05-31,31,May,2015,33.0,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,-----,1,344,540,185,344,529,More or equal to 100
2014-05-20,20,May,2014,19.0,Youth (<25),M,Australia,New South Wales,Clothing,Vests,"Classic Vest, L",2,24,64,63,48,111,Less than 100
2013-10-14,14,October,2013,25.0,Young Adults (25-34),M,UK,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,7,8,15,Less than 100
2014-07-24,24,July,2014,19.0,Youth (<25),M,United States,Washington,Clothing,Caps,AWC Logo Cap,25,7,9,1,175,176,Less than 100
2014-05-24,24,May,2014,61.0,Adults (35-64),F,United States,California,Accessories,Fenders,Fender Set - Mountain,1,8,22,14,8,22,Less than 100
2016-02-10,10,Feb,2016,24.0,Youth (<25),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2,Less than 100
2013-08-08,8,August,2013,29.0,Young Adults (25-34),M,United States,California,Clothing,Vests,"Classic Vest, S",14,24,64,542,336,878,More or equal to 100
2015-11-04,4,Nov,2015,47.0,Adults (35-64),M,UK,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",2,38,50,20,76,96,Less than 100
2015-08-01,1,August,2015,1.0,Youth (<25),F,United States,Oregon,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,5,4,9,Less than 100
2015-09-27,27,September,2015,42.0,Adults (35-64),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",26,13,35,372,338,710,More or equal to 100
2014-04-28,28,April,2014,33.0,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,26,2,5,51,52,103,Less than 100
2015-12-29,29,Dec,2015,49.0,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,15,1,4,37,15,52,Less than 100
2016-06-15,15,June,2016,29.0,Young Adults (25-34),F,Germany,Hamburg,Accessories,Fenders,Fender Set - Mountain,7,8,22,87,56,143,Less than 100
2014-06-03,3,June,2014,33.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,3,2,5,7,6,13,Less than 100
2016-06-20,20,June,2016,34.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,-----,4,2,5,12,8,20,Less than 100
2013-03-04,4,Mar,2013,44.0,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-650 Red, 60",1,487,783,241,487,728,More or equal to 100
2015-10-13,13,October,2015,25.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,261,713,974,More or equal to 100
2015-10-12,12,October,2015,22.0,Youth (<25),F,USA,California,Accessories,Tires and Tubes,LL Road Tire,12,8,21,151,96,247,More or equal to 100
2014-06-20,20,June,2014,1.0,Youth (<25),F,Germany,Nordrhein-Westfalen,Clothing,Gloves,"Half-Finger Gloves, M",16,9,24,190,144,334,More or equal to 100
2015-08-31,31,August,2015,17.0,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,15,12,27,Less than 100
2014-03-13,13,Mar,2014,58.0,Adults (35-64),F,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,65,44,109,Less than 100
2015-12-11,11,Dec,2015,26.0,Young Adults (25-34),F,United States,Oregon,Clothing,Shorts,"Women's Mountain Shorts, L",22,26,70,752,572,1324,More or equal to 100
2013-10-01,1,October,2013,30.0,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-650 Red, 58",1,487,783,124,487,611,More or equal to 100
2016-06-14,14,June,2016,37.0,Adults (35-64),F,USA,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,6,11,17,Less than 100
2016-02-05,5,Feb,2016,31.0,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,1884,4342,6226,More or equal to 100
2014-05-07,7,May,2014,56.0,Adults (35-64),M,France,Seine (Paris),Clothing,Shorts,"Women's Mountain Shorts, M",18,26,70,565,468,1033,More or equal to 100
2016-05-15,15,May,2016,21.0,Youth (<25),F,Germany,Bayern,Accessories,Tires and Tubes,Patch Kit/8 Patches,2,1,2,2,2,4,Less than 100
2015-10-08,8,October,2015,27.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,24,2,5,71,48,119,Less than 100
2013-08-08,8,August,2013,29.0,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,HL Mountain Tire,11,13,35,173,143,316,More or equal to 100
2016-07-06,6,July,2016,38.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Road Tire,9,9,25,142,81,223,More or equal to 100
2015-10-27,27,October,2015,32.0,Young Adults (25-34),F,Germany,Bayern,Accessories,Tires and Tubes,Road Tire Tube,18,1,4,53,18,71,Less than 100
2014-02-19,19,Feb,2014,1.0,Youth (<25),F,Australia,Victoria,Clothing,Caps,AWC Logo Cap,5,7,9,1,35,36,Less than 100
2012-02-01,1,Feb,2012,36.0,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,-----,2,1083,1701,1100,2166,3266,More or equal to 100
2013-11-29,29,Nov,2013,1.0,Youth (<25),M,Canada,British Columbia,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,878,1482,2360,More or equal to 100
2016-01-18,18,January,2016,32.0,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274,More or equal to 100
2015-12-21,21,Dec,2015,60.0,Adults (35-64),F,USA,California,Bikes,Mountain Bikes,-----,2,1266,2320,2015,2532,4547,More or equal to 100
2015-09-04,4,September,2015,42.0,Adults (35-64),F,USA,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,33,126,159,Less than 100
2015-10-25,25,October,2015,45.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,19,1,4,55,19,74,Less than 100
2013-09-12,12,September,2013,43.0,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,20,18,38,Less than 100
2016-06-06,6,June,2016,44.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,9,2,5,26,18,44,Less than 100
2013-12-14,14,Dec,2013,48.0,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-650 Black, 44",1,487,783,194,487,681,More or equal to 100
2014-04-13,13,April,2014,46.0,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",2,38,50,2,76,78,Less than 100
2013-10-22,22,October,2013,25.0,Young Adults (25-34),F,Germany,Bayern,Accessories,Tires and Tubes,Road Tire Tube,24,1,4,71,24,95,Less than 100
2016-05-07,7,May,2016,34.0,Young Adults (25-34),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",22,13,35,453,286,739,More or equal to 100
2014-04-27,27,April,2014,35.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5,64,44,108,Less than 100
2016-05-09,9,May,2016,27.0,Young Adults (25-34),F,United States,Oregon,Accessories,Tires and Tubes,HL Mountain Tire,19,13,35,325,247,572,More or equal to 100
2016-07-11,11,July,2016,27.0,Young Adults (25-34),F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,17,9,26,Less than 100
2014-05-29,29,May,2014,28.0,Young Adults (25-34),F,UK,England,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,951,1252,2203,More or equal to 100
2014-04-19,19,April,2014,46.0,Adults (35-64),F,UK,England,Accessories,Tires and Tubes,HL Road Tire,19,12,33,374,228,602,More or equal to 100
2013-09-19,19,September,2013,29.0,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,77,344,421,Less than 100
2014-04-03,3,April,2014,31.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire Tube,13,2,5,31,26,57,Less than 100
2015-03-02,2,Mar,2015,20.0,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,126,344,470,More or equal to 100
2015-12-02,2,Dec,2015,35.0,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1371,2171,3542,More or equal to 100
2015-11-05,5,Nov,2015,42.0,Adults (35-64),M,United States,Washington,Accessories,Fenders,Fender Set - Mountain,19,8,22,174,152,326,More or equal to 100
2014-06-10,10,June,2014,1.0,Youth (<25),M,Germany,Saarland,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,630,1252,1882,More or equal to 100
2013-07-01,1,July,2013,30.0,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,ML Road Tire,8,9,25,124,72,196,More or equal to 100
2015-11-21,21,Nov,2015,35.0,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,35,476,286,762,More or equal to 100
2013-05-22,22,May,2013,35.0,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,397,1083,1480,More or equal to 100
2016-05-11,11,May,2016,29.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,6,9,25,77,54,131,Less than 100
2016-01-06,6,January,2016,28.0,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,951,1252,2203,More or equal to 100
2013-12-25,25,Dec,2013,49.0,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",17,38,50,17,646,663,Less than 100
2014-02-27,27,Feb,2014,48.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,27,28,55,Less than 100
2015-10-02,2,October,2015,45.0,Adults (35-64),M,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443,448,1555,2003,More or equal to 100
2014-01-28,28,January,2014,22.0,Youth (<25),M,Australia,Victoria,Accessories,Tires and Tubes,-----,26,2,5,51,52,103,Less than 100
2015-05-28,28,May,2015,56.0,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-750 Black, 58",1,344,540,158,344,502,More or equal to 100
2016-06-01,1,June,2016,35.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274,More or equal to 100
2014-05-29,29,May,2014,48.0,Adults (35-64),F,USA,Oregon,Accessories,Helmets,"Sport-100 Helmet, Black",22,13,35,376,286,662,More or equal to 100
2015-12-19,19,Dec,2015,35.0,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,6,9,25,77,54,131,Less than 100
2015-06-25,25,June,2015,55.0,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,318,420,738,More or equal to 100
2013-11-03,3,Nov,2013,45.0,Adults (35-64),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Black",19,13,35,278,247,525,More or equal to 100
2015-09-24,24,September,2015,42.0,Adults (35-64),F,USA,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,8,8,16,Less than 100
2013-11-21,21,Nov,2013,42.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,6,4,10,Less than 100
2016-04-03,3,April,2016,31.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,28,24,52,Less than 100
2014-05-02,2,May,2014,35.0,Adults (35-64),M,France,Seine Saint Denis,Accessories,Tires and Tubes,Mountain Tire Tube,30,2,5,63,60,123,Less than 100
2013-12-20,20,Dec,2013,29.0,Young Adults (25-34),M,United States,California,Accessories,Cleaners,Bike Wash - Dissolver,18,3,8,87,54,141,Less than 100
2013-09-28,28,September,2013,21.0,Youth (<25),F,Germany,Hessen,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,9,10,19,Less than 100
2015-12-16,16,Dec,2015,37.0,Adults (35-64),M,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,24,7,9,46,168,214,Less than 100
2016-04-18,18,April,2016,20.0,Youth (<25),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,59,54,113,Less than 100
2015-12-23,23,Dec,2015,28.0,Young Adults (25-34),M,France,Seine (Paris),Bikes,Touring Bikes,"Touring-1000 Blue, 54",2,1482,2384,946,2964,3910,More or equal to 100
2013-11-06,6,Nov,2013,20.0,Youth (<25),M,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",10,38,50,110,380,490,More or equal to 100
2016-04-09,9,April,2016,41.0,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,25,26,51,Less than 100
2012-07-22,22,July,2012,23.0,Youth (<25),M,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,154,688,842,More or equal to 100
2015-09-20,20,September,2015,25.0,Young Adults (25-34),M,UK,England,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35,21,13,34,Less than 100
2015-11-09,9,Nov,2015,39.0,Adults (35-64),F,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,73,52,125,Less than 100
2013-09-22,22,September,2013,55.0,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,835,2171,3006,More or equal to 100
2012-12-02,2,Dec,2012,28.0,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,321,1426,1747,More or equal to 100
2016-05-20,20,May,2016,49.0,Adults (35-64),M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,HL Mountain Tire,28,13,35,489,364,853,More or equal to 100
2014-02-17,17,Feb,2014,18.0,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5,32,22,54,Less than 100
2014-05-11,11,May,2014,32.0,Young Adults (25-34),M,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,48,44,92,Less than 100
2015-10-18,18,October,2015,64.0,Adults (35-64),M,France,Hauts de Seine,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,4,5,9,Less than 100
2011-01-16,16,January,2011,28.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,397,1083,1480,More or equal to 100
2016-07-23,23,July,2016,47.0,Adults (35-64),M,USA,California,Accessories,Tires and Tubes,LL Road Tire,30,8,21,377,240,617,More or equal to 100
2016-02-05,5,Feb,2016,37.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,6,1,4,18,6,24,Less than 100
2013-08-27,27,August,2013,19.0,Youth (<25),M,United States,Washington,Clothing,Caps,AWC Logo Cap,14,7,9,0,98,98,Less than 100
2016-05-14,14,May,2016,37.0,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",2,38,50,11,76,87,Less than 100
2016-01-21,21,January,2016,21.0,Youth (<25),M,UK,England,Accessories,Helmets,"Sport-100 Helmet, Red",23,13,35,474,299,773,More or equal to 100
2013-10-01,1,October,2013,31.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Hydration Packs,Hydration Pack - 70 oz.,9,21,55,242,189,431,More or equal to 100
2011-02-15,15,Feb,2011,27.0,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,713,1120,1046,2852,3898,More or equal to 100
2015-08-14,14,August,2015,26.0,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,LL Road Tire,24,8,21,292,192,484,More or equal to 100
2015-10-16,16,October,2015,22.0,Youth (<25),M,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2,14,15,29,Less than 100
2014-05-12,12,May,2014,47.0,Adults (35-64),F,United States,Texas,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,2,4,6,Less than 100
2011-06-12,12,June,2011,34.0,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,2313,4342,6655,More or equal to 100
2016-06-02,2,June,2016,19.0,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,9,1,2,9,9,18,Less than 100
2012-12-20,20,Dec,2012,57.0,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1352,2504,3856,More or equal to 100
2016-03-12,12,Mar,2016,34.0,Young Adults (25-34),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",18,13,35,264,234,498,More or equal to 100
2016-03-23,23,Mar,2016,32.0,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,58,40,98,Less than 100
2014-03-29,29,Mar,2014,40.0,Adults (35-64),M,Australia,Tasmania,Bikes,Road Bikes,"Road-650 Black, 52",1,487,783,147,487,634,More or equal to 100
2016-04-28,28,April,2016,25.0,Young Adults (25-34),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, S",1,9,24,12,9,21,Less than 100
2016-05-06,6,May,2016,33.0,Young Adults (25-34),F,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Red",18,13,35,295,234,529,More or equal to 100
2014-02-17,17,Feb,2014,47.0,Adults (35-64),F,USA,Washington,Bikes,Touring Bikes,"Touring-1000 Yellow, 60",1,1482,2384,378,1482,1860,More or equal to 100
2016-03-07,7,Mar,2016,29.0,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Road Tire Tube,25,1,4,62,25,87,Less than 100
2013-10-04,4,October,2013,40.0,Adults (35-64),M,United States,Oregon,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,44,38,82,Less than 100
2015-12-05,5,Dec,2015,20.0,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,Mountain Tire Tube,13,2,5,30,26,56,Less than 100
2014-03-19,19,Mar,2014,36.0,Adults (35-64),F,USA,California,Clothing,Socks,"Racing Socks, M",14,3,9,81,42,123,Less than 100
2016-07-03,3,July,2016,44.0,Adults (35-64),F,USA,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,3,6,9,Less than 100
2013-11-27,27,Nov,2013,21.0,Youth (<25),F,USA,California,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,447,273,720,More or equal to 100
2013-10-06,6,October,2013,38.0,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,4,6,10,Less than 100
2014-04-04,4,April,2014,58.0,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",29,38,50,334,1102,1436,More or equal to 100
2015-11-16,16,Nov,2015,40.0,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",20,13,35,426,260,686,More or equal to 100
2016-01-07,7,January,2016,1.0,Youth (<25),M,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,13,18,31,Less than 100
2013-08-04,4,August,2013,26.0,Young Adults (25-34),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Black",7,13,35,103,91,194,More or equal to 100
2013-09-02,2,September,2013,33.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,28,1,2,27,28,55,Less than 100
2016-03-22,22,Mar,2016,45.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,38,13,51,Less than 100
2014-04-19,19,April,2014,68.0,Seniors (64+),M,France,Seine (Paris),Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",7,42,54,16,294,310,Less than 100
2014-06-14,14,June,2014,30.0,Young Adults (25-34),M,France,Essonne,Bikes,Road Bikes,"Road-250 Black, 58",1,1555,2443,790,1555,2345,More or equal to 100
2016-02-24,24,Feb,2016,22.0,Youth (<25),F,France,Nord,Accessories,Tires and Tubes,-----,12,9,25,153,108,261,More or equal to 100
2013-12-08,8,Dec,2013,39.0,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Mountain Bottle Cage,8,4,10,46,32,78,Less than 100
2014-04-12,12,April,2014,21.0,Youth (<25),F,France,Moselle,Accessories,Tires and Tubes,LL Road Tire,2,8,21,21,16,37,Less than 100
